Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
48,Ty Lawson\lawsoty01,2010-11,23,DEN,NBA,6.7,2.1,1.9,80,31,26.3,4.3,8.6,3.5,6.5,0.9,2.1,2.2,2.8,0.8,1.8,2.6,4.7,1.0,0.1,1.7,1.7,11.7,.503,.536,.404,.553,.764,.593
49,Joakim Noah\noahjo01,2010-11,25,CHI,NBA,6.7,2.8,4.9,48,48,32.8,4.4,8.4,4.4,8.4,0.0,0.0,2.9,3.9,3.8,6.6,10.4,2.2,1.0,1.5,1.9,3.3,11.7,.525,.526,.000,.525,.739,.579
50,Nicolas Batum\batumni01,2010-11,22,POR,NBA,6.6,2.4,1.7,80,67,31.5,4.6,10.1,3.1,5.8,1.5,4.3,1.7,2.1,1.4,3.2,4.5,1.5,0.9,0.6,1.0,2.4,12.4,.455,.535,.345,.528,.841,.563
51,Andrew Bynum\bynuman01,2010-11,23,LAL,NBA,6.6,2.0,3.3,54,47,27.8,4.4,7.6,4.4,7.6,0.0,0.0,2.6,3.9,3.1,6.3,9.4,1.4,0.4,2.0,1.4,2.6,11.3,.574,.574,,.574,.660,.606
52,Mike Conley\conlemi01,2010-11,23,MEM,NBA,6.6,2.4,1.3,81,81,35.5,5.2,11.8,4.2,9.1,1.0,2.7,2.2,3.0,0.4,2.7,3.0,6.5,1.8,0.2,2.2,2.2,13.7,.444,.466,.369,.486,.733,.521
53,Stephen Curry\curryst01,2010-11,22,GSW,NBA,6.6,2.4,1.9,74,74,33.6,6.8,14.2,4.8,9.6,2.0,4.6,2.9,3.1,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6,.480,.498,.442,.551,.934,.595
54,Greg Monroe\monrogr01,2010-11,20,DET,NBA,6.6,2.5,2.5,80,48,27.8,3.8,6.9,3.8,6.9,0.0,0.0,1.8,2.9,3.1,4.4,7.5,1.3,1.2,0.6,1.0,2.5,9.4,.551,.552,.000,.551,.622,.575
55,Jameer Nelson\nelsoja01,2010-11,28,ORL,NBA,6.6,2.1,1.6,76,76,30.5,4.9,11.0,3.4,7.1,1.6,3.9,1.7,2.1,0.5,2.5,3.0,6.0,1.0,0.0,2.6,2.8,13.1,.446,.471,.401,.517,.802,.548
56,Rajon Rondo\rondora01,2010-11,24,BOS,NBA,6.6,2.5,2.0,68,68,37.2,4.7,9.9,4.5,9.2,0.1,0.6,1.1,1.9,1.3,3.1,4.4,11.2,2.3,0.2,3.4,1.8,10.6,.475,.491,.233,.482,.568,.495
57,Emeka Okafor\okafoem01,2010-11,28,NOH,NBA,6.5,1.6,0.8,72,72,31.8,4.2,7.3,4.2,7.3,0.0,0.0,2.0,3.6,3.2,6.3,9.5,0.6,0.6,1.8,1.7,3.2,10.3,.573,.574,.000,.573,.562,.584
58,Ryan Anderson\anderry01,2010-11,22,ORL,NBA,6.4,2.3,4.4,64,14,22.3,3.5,8.2,1.4,2.9,2.1,5.3,1.5,1.8,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6,.430,.500,.393,.558,.812,.591
59,Marcin Gortat\gortama01,2010-11,26,TOT,NBA,6.4,1.4,0.7,80,14,25.4,4.2,7.5,4.2,7.5,0.0,0.1,1.8,2.4,1.9,6.0,7.9,0.9,0.5,1.1,1.0,2.4,10.2,.561,.563,.250,.561,.725,.594
60,Jason Kidd\kiddja01,2010-11,37,DAL,NBA,6.4,3.4,3.1,80,80,33.2,2.7,7.5,1.0,2.6,1.7,4.9,0.8,1.0,0.4,4.0,4.4,8.2,1.7,0.4,2.2,1.5,7.9,.361,.400,.340,.472,.870,.500
61,Josh Smith\smithjo03,2010-11,25,ATL,NBA,6.4,3.4,3.1,77,77,34.4,6.5,13.5,5.8,11.5,0.7,2.0,3.0,4.1,1.7,6.8,8.5,3.3,1.3,1.6,2.6,2.8,16.5,.477,.503,.331,.502,.725,.540
62,Chuck Hayes\hayesch01,2010-11,27,HOU,NBA,6.3,3.0,3.8,74,63,28.1,3.3,6.3,3.3,6.2,0.0,0.0,1.3,1.9,3.0,5.1,8.1,2.7,1.1,0.7,1.2,2.7,7.9,.527,.529,.000,.527,.662,.554
63,Brook Lopez\lopezbr01,2010-11,22,NJN,NBA,6.3,1.5,0.1,82,82,35.2,7.9,16.0,7.9,16.0,0.0,0.0,4.7,6.0,2.4,3.5,6.0,1.6,0.6,1.5,2.1,2.9,20.4,.492,.492,.000,.492,.787,.549
64,Arron Afflalo\afflaar01,2010-11,25,DEN,NBA,6.2,2.4,2.1,69,69,33.7,4.5,9.1,3.0,5.5,1.5,3.6,2.0,2.4,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,12.6,.498,.546,.423,.581,.847,.620
65,Gerald Wallace\wallage01,2010-11,28,TOT,NBA,6.2,2.5,1.7,71,63,37.9,5.4,12.0,4.6,9.4,0.9,2.6,3.9,5.3,1.6,6.5,8.0,2.4,1.5,0.9,2.1,2.6,15.7,.454,.487,.333,.490,.746,.548
66,Thaddeus Young\youngth01,2010-11,22,PHI,NBA,6.2,1.2,0.3,82,1,26.0,5.6,10.3,5.5,10.1,0.1,0.3,1.5,2.1,1.9,3.4,5.3,1.0,1.1,0.3,1.2,2.1,12.7,.541,.548,.273,.544,.707,.566
67,Danilo Gallinari\gallida01,2010-11,22,TOT,NBA,6.1,1.3,0.5,62,60,33.9,4.3,10.3,2.6,5.6,1.7,4.7,5.4,6.3,1.0,4.0,4.9,1.7,0.8,0.4,1.3,2.3,15.6,.414,.467,.352,.495,.862,.597
68,George Hill\hillge01,2010-11,24,SAS,NBA,6.1,1.7,1.1,76,5,28.3,3.8,8.3,2.8,5.6,1.0,2.7,3.1,3.6,0.3,2.3,2.6,2.5,0.9,0.3,1.3,2.0,11.6,.453,.490,.377,.514,.863,.588
69,Monta Ellis\ellismo01,2010-11,25,GSW,NBA,6.0,1.8,0.2,80,80,40.3,9.1,20.1,7.4,15.4,1.7,4.7,4.3,5.4,0.6,3.0,3.5,5.6,2.1,0.3,3.2,2.5,24.1,.451,.478,.361,.493,.789,.536
70,David Lee\leeda02,2010-11,27,GSW,NBA,6.0,1.5,0.3,73,73,36.1,6.8,13.4,6.8,13.4,0.0,0.0,2.9,3.7,3.0,6.8,9.8,3.2,1.0,0.4,2.3,2.9,16.5,.507,.508,.333,.508,.787,.549
71,Richard Jefferson\jefferi01,2010-11,30,SAS,NBA,5.9,2.0,1.2,81,81,30.4,3.8,7.9,2.1,4.1,1.7,3.8,1.8,2.4,0.7,3.2,3.8,1.3,0.5,0.4,1.1,2.0,11.0,.474,.504,.440,.579,.759,.612
