Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
504,Dwyane Wade\wadedw01,2011-12,30,MIA,NBA,7.7,3.4,6.3,49,49,33.2,8.5,17.1,8.2,15.9,0.3,1.1,4.8,6.1,1.5,3.3,4.8,4.6,1.7,1.3,2.6,2.2,22.1,.497,.513,.268,.506,.791,.559
505,Dwight Howard\howardw01,2012-13,27,LAL,NBA,7.6,2.3,1.3,76,76,35.8,6.2,10.7,6.2,10.6,0.0,0.1,4.7,9.5,3.3,9.1,12.4,1.4,1.1,2.4,3.0,3.8,17.1,.578,.581,.167,.579,.492,.573
506,Dirk Nowitzki\nowitdi01,2011-12,33,DAL,NBA,7.6,2.0,1.8,62,62,33.5,7.6,16.7,6.4,13.3,1.3,3.4,5.1,5.7,0.7,6.0,6.7,2.2,0.7,0.5,1.9,2.1,21.6,.457,.481,.368,.495,.896,.564
507,Isiah Thomas\thomais01,1986-87,25,DET,NBA,7.6,3.8,3.0,81,81,37.2,7.7,16.7,7.5,15.5,0.2,1.2,4.9,6.4,1.0,2.9,3.9,10.0,1.9,0.2,4.2,3.1,20.6,.463,.484,.194,.470,.768,.528
508,LaMarcus Aldridge\aldrila01,2013-14,28,POR,NBA,7.5,1.5,0.3,69,69,36.2,9.4,20.6,9.4,20.4,0.0,0.2,4.3,5.2,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,.458,.461,.200,.459,.822,.507
509,Andrew Bogut\bogutan01,2009-10,25,MIL,NBA,7.5,3.0,3.4,69,69,32.3,6.9,13.2,6.9,13.2,0.0,0.0,2.2,3.4,3.0,7.1,10.2,1.8,0.6,2.5,1.9,3.2,15.9,.520,.521,.000,.520,.629,.540
510,Baron Davis\davisba01,2003-04,24,NOH,NBA,7.5,5.2,5.6,67,66,40.1,8.3,20.9,5.5,12.2,2.8,8.7,3.5,5.3,1.0,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9,.395,.448,.321,.462,.673,.492
511,Tim Hardaway\hardati01,1992-93,26,GSW,NBA,7.5,3.2,2.8,66,66,39.5,7.9,17.7,6.4,13.0,1.5,4.7,4.1,5.6,0.9,3.1,4.0,10.6,1.8,0.2,3.3,2.3,21.5,.447,.489,.330,.491,.744,.534
512,Dennis Johnson\johnsde01,1979-80,25,SEA,NBA,7.4,2.8,1.7,81,,36.3,7.1,16.8,6.9,16.1,0.1,0.7,4.7,6.0,2.1,3.0,5.1,4.1,1.8,1.0,2.8,3.3,19.0,.422,.431,.207,.426,.780,.489
513,Stephon Marbury\marbust01,1999-00,22,NJN,NBA,7.4,2.8,1.8,74,74,38.9,7.7,17.8,6.8,14.6,0.9,3.1,5.9,7.2,0.8,2.4,3.2,8.4,1.5,0.2,3.6,2.6,22.2,.432,.464,.283,.457,.813,.528
514,Yao Ming\mingya01,2006-07,26,HOU,NBA,7.4,1.8,2.3,48,48,33.8,8.8,17.1,8.8,17.0,0.0,0.0,7.4,8.6,2.1,7.3,9.4,2.0,0.4,2.0,3.5,3.3,25.0,.516,.518,.000,.516,.862,.601
515,Isiah Thomas\thomais01,1982-83,21,DET,NBA,7.4,3.4,2.4,81,81,38.2,9.0,19.0,8.5,17.4,0.4,1.5,4.5,6.4,1.3,2.8,4.0,7.8,2.5,0.4,4.0,3.9,22.9,.472,.488,.288,.483,.710,.525
516,Kemba Walker\walkeke02,2018-19,28,CHO,NBA,7.4,3.9,3.3,82,82,34.9,8.9,20.5,5.7,11.6,3.2,8.9,4.6,5.5,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6,.434,.494,.356,.511,.844,.558
517,Carmelo Anthony\anthoca01,2006-07,22,DEN,NBA,7.3,2.5,2.0,65,65,38.2,10.6,22.4,10.0,20.1,0.6,2.3,7.1,8.7,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9,.476,.499,.268,.489,.808,.552
518,Grant Hill\hillgr01,1998-99,26,DET,NBA,7.3,3.8,6.0,50,50,37.0,7.7,16.0,7.7,15.8,0.0,0.3,5.7,7.6,1.3,5.8,7.1,6.0,1.6,0.5,3.7,2.3,21.1,.479,.487,.000,.479,.752,.543
519,Allen Iverson\iversal01,1998-99,23,PHI,NBA,7.2,3.3,4.6,48,48,41.5,9.1,22.0,7.9,17.9,1.2,4.1,7.4,9.9,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,.412,.440,.291,.439,.751,.508
520,LeBron James\jamesle01,2018-19,34,LAL,NBA,7.2,4.9,8.1,55,55,35.2,10.1,19.9,8.1,14.0,2.0,5.9,5.1,7.6,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,.510,.582,.339,.560,.665,.588
521,Jason Kidd\kiddja01,2003-04,30,NJN,NBA,7.2,4.1,4.5,67,66,36.6,5.5,14.3,4.1,9.9,1.4,4.4,3.1,3.7,1.3,5.1,6.4,9.2,1.8,0.2,3.2,1.6,15.5,.384,.411,.321,.433,.827,.485
522,Gary Payton\paytoga01,1998-99,30,SEA,NBA,7.2,3.8,5.4,50,50,40.2,8.0,18.5,6.4,12.8,1.7,5.6,4.0,5.5,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7,.434,.495,.295,.479,.721,.519
523,Bernard King\kingbe01,1984-85,28,NYK,NBA,7.1,3.3,4.3,55,55,37.5,12.6,23.7,12.5,23.5,0.0,0.2,7.7,10.0,2.1,3.7,5.8,3.7,1.3,0.3,3.7,3.5,32.9,.530,.534,.100,.531,.772,.585
524,Tony Parker\parketo01,2011-12,29,SAS,NBA,7.1,1.8,1.7,60,60,32.1,7.1,14.8,6.9,13.8,0.2,1.0,3.8,4.7,0.4,2.5,2.9,7.7,1.0,0.1,2.6,1.3,18.3,.480,.498,.230,.488,.799,.539
525,Allen Iverson\iversal01,2001-02,26,PHI,NBA,6.9,3.9,3.8,60,59,43.7,11.1,27.8,9.8,23.4,1.3,4.5,7.9,9.8,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,.398,.419,.291,.422,.812,.489
526,Allen Iverson\iversal01,1999-00,24,PHI,NBA,6.9,3.3,2.6,70,70,40.8,10.4,24.8,9.1,21.0,1.3,3.7,6.3,8.9,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,.421,.435,.341,.446,.713,.496
